EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,YearsAtCompany,YearsSinceLastPromotion,MonthlyIncome,WorkLifeBalance,JobSatisfaction,PerformanceRating,CommuteDistance,NumberOfCompaniesWorked,Attrition
1,33,Male,Single,Engineering,Senior,76,2,68434,3,2,3,36,8,0
2,22,Female,Single,Marketing,Junior,81,3,158416,4,3,3,41,5,0
3,43,Male,Single,Sales,Junior,26,2,157986,3,3,4,3,6,0
4,33,Male,Single,Sales,Senior,8,4,55740,2,3,4,21,1,0
5,22,Female,Single,Engineering,Mid-Level,36,8,124246,1,4,4,14,9,0
6,22,Female,Divorced,HR,Junior,50,2,66173,4,1,2,35,9,0
7,39,Female,Married,Sales,Senior,10,2,73719,1,1,4,48,8,0
8,39,Male,Single,Engineering,Senior,74,0,145271,3,3,2,46,4,0
9,30,Male,Single,Sales,Junior,24,0,77361,1,3,4,16,6,0
10,26,Male,Married,Engineering,Junior,74,8,41185,1,4,4,32,4,0
11,24,Female,Married,Sales,Manager,23,5,63512,2,4,3,33,8,0
12,47,Male,Single,Sales,Mid-Level,11,7,147550,3,2,1,45,9,0
13,28,Male,Married,Sales,Senior,42,8,42090,3,2,4,8,5,0
14,36,Male,Single,Sales,Mid-Level,33,3,84888,4,2,3,24,3,0
15,29,Male,Married,Engineering,Junior,56,5,124665,3,4,4,42,3,0
16,28,Female,Married,Sales,Junior,56,3,125640,3,3,3,36,3,0
17,35,Female,Married,Sales,Manager,80,9,150869,2,3,3,3,4,1
18,43,Male,Single,Engineering,Manager,37,9,93790,4,4,3,36,8,0
19,29,Male,Married,Engineering,Mid-Level,18,7,143996,2,3,3,20,5,0
20,34,Male,Single,Sales,Mid-Level,77,8,121028,1,1,2,37,1,1
21,48,Female,Single,Marketing,Senior,5,6,127050,4,1,3,11,8,0
22,44,Male,Single,Sales,Manager,36,8,158371,1,2,2,24,5,1
23,36,Female,Single,Marketing,Junior,45,7,118358,3,4,3,14,1,0
24,27,Male,Single,Sales,Senior,7,0,67573,2,4,3,1,8,0
25,27,Female,Married,Engineering,Mid-Level,48,8,114184,3,3,3,34,5,0
26,30,Female,Married,Sales,Mid-Level,59,6,101022,1,1,4,3,5,0
27,43,Female,Married,Engineering,Junior,28,9,144620,2,3,4,3,4,0
28,36,Male,Single,Engineering,Junior,77,6,147984,3,4,1,27,9,0
